,n,f,Exp MLE
0,10.0,1.5,1.5564565709705285e-05
1,2.0,0.1,0.4144651364226938
2,2.0,0.35,0.41086395873629916
3,2.0,0.575,0.3404255319148936
4,2.0,1.05,0.5384615384615384
5,2.0,1.525,0.422680412371134
6,2.0,2.0,0.4918032786885246
7,3.0,0.1,0.204162976085031
8,3.0,0.25,0.20907563025210085
9,3.0,0.575,0.21390374331550802
10,3.0,0.7333333333333333,0.18375
11,3.0,1.05,0.25
12,3.0,1.525,0.5
13,3.0,2.0,0.38461538461538464
14,4.0,0.1,0.05210360832459949
15,4.0,0.45,0.048312203266030154
16,4.0,0.5222222222222223,0.04782560338115894
17,4.0,0.575,0.06110154905335628
18,4.0,0.7333333333333333,0.05244381020335355
19,4.0,1.05,0.0670391061452514
20,4.0,1.525,0.0392156862745098
21,5.0,0.1,0.008520066287196483
22,5.0,0.3111111111111111,0.008558965540691518
23,5.0,0.5222222222222223,0.007956173091198027
24,5.0,0.7333333333333333,0.008560349847003877
25,5.0,1.12,0.00831413402784734
26,6.0,1.3,0.0014952074818553372
27,7.0,1.4,0.00031719610724853525
28,8.0,1.5,9.704060802872401e-05
